prepared_relative_path,prepared_split,label,kind,source_relative_path,original_relative_path
train/paper/paper_006__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_04.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_05.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_06.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_07.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_08.jpg,train/paper/paper_006.jpg
train/paper/paper_006__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_006__aug_v2_09.jpg,train/paper/paper_006.jpg
train/paper/paper_007.jpg,train,paper,original,train/paper/paper_007.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_01.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_02.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_03.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_04.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_05.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_06.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_07.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_08.jpg,train/paper/paper_007.jpg
train/paper/paper_007__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_007__aug_v2_09.jpg,train/paper/paper_007.jpg
train/paper/paper_008.jpg,train,paper,original,train/paper/paper_008.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_01.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_02.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_03.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_04.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_05.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_06.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_07.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_08.jpg,train/paper/paper_008.jpg
train/paper/paper_008__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_008__aug_v2_09.jpg,train/paper/paper_008.jpg
train/paper/paper_009.jpg,train,paper,original,train/paper/paper_009.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_01.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_02.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_03.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_04.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_05.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_06.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_07.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_08.jpg,train/paper/paper_009.jpg
train/paper/paper_009__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_009__aug_v2_09.jpg,train/paper/paper_009.jpg
train/paper/paper_010.jpg,train,paper,original,train/paper/paper_010.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_01.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_02.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_03.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_04.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_05.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_06.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_07.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_08.jpg,train/paper/paper_010.jpg
train/paper/paper_010__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_010__aug_v2_09.jpg,train/paper/paper_010.jpg
train/paper/paper_011.jpg,train,paper,original,train/paper/paper_011.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_01.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_02.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_03.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_04.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_05.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_06.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_07.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_08.jpg,train/paper/paper_011.jpg
train/paper/paper_011__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_011__aug_v2_09.jpg,train/paper/paper_011.jpg
train/paper/paper_012.jpg,train,paper,original,train/paper/paper_012.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_01.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_02.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_03.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_04.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_05.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_06.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_07.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_08.jpg,train/paper/paper_012.jpg
train/paper/paper_012__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_012__aug_v2_09.jpg,train/paper/paper_012.jpg
train/paper/paper_015.jpg,train,paper,original,train/paper/paper_015.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_01.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_02.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_03.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_04.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_05.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_06.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_07.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_08.jpg,train/paper/paper_015.jpg
train/paper/paper_015__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_015__aug_v2_09.jpg,train/paper/paper_015.jpg
train/paper/paper_017.jpg,train,paper,original,train/paper/paper_017.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_01.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_02.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_03.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_04.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_05.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_06.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_07.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_08.jpg,train/paper/paper_017.jpg
train/paper/paper_017__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_017__aug_v2_09.jpg,train/paper/paper_017.jpg
train/paper/paper_018.jpg,train,paper,original,train/paper/paper_018.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_01.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_02.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_03.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_04.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_05.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_06.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_07.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_08.jpg,train/paper/paper_018.jpg
train/paper/paper_018__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_018__aug_v2_09.jpg,train/paper/paper_018.jpg
train/paper/paper_019.jpg,train,paper,original,train/paper/paper_019.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_01.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_02.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_03.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_04.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_05.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_06.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_07.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_08.jpg,train/paper/paper_019.jpg
train/paper/paper_019__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_019__aug_v2_09.jpg,train/paper/paper_019.jpg
train/paper/paper_021.jpg,train,paper,original,train/paper/paper_021.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_01.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_02.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_03.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_04.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_05.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_06.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_07.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_08.jpg,train/paper/paper_021.jpg
train/paper/paper_021__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_021__aug_v2_09.jpg,train/paper/paper_021.jpg
train/paper/paper_023.jpg,train,paper,original,train/paper/paper_023.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_01.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_02.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_03.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_04.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_05.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_06.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_07.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_08.jpg,train/paper/paper_023.jpg
train/paper/paper_023__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_023__aug_v2_09.jpg,train/paper/paper_023.jpg
train/paper/paper_024.jpg,train,paper,original,train/paper/paper_024.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_01.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_02.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_03.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_04.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_05.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_06.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_07.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_08.jpg,train/paper/paper_024.jpg
train/paper/paper_024__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_024__aug_v2_09.jpg,train/paper/paper_024.jpg
train/paper/paper_027.jpg,train,paper,original,train/paper/paper_027.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_01.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_02.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_03.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_04.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_05.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_06.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_07.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_08.jpg,train/paper/paper_027.jpg
train/paper/paper_027__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_027__aug_v2_09.jpg,train/paper/paper_027.jpg
train/paper/paper_028.jpg,train,paper,original,train/paper/paper_028.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_01.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_02.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_03.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_04.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_05.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_06.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_07.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_08.jpg,train/paper/paper_028.jpg
train/paper/paper_028__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_028__aug_v2_09.jpg,train/paper/paper_028.jpg
train/paper/paper_030.jpg,train,paper,original,train/paper/paper_030.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_01.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_02.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_03.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_04.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_05.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_06.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_07.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_08.jpg,train/paper/paper_030.jpg
train/paper/paper_030__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_030__aug_v2_09.jpg,train/paper/paper_030.jpg
train/paper/paper_031.jpg,train,paper,original,train/paper/paper_031.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_01.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_02.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_03.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_04.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_05.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_06.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_07.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_08.jpg,train/paper/paper_031.jpg
train/paper/paper_031__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_031__aug_v2_09.jpg,train/paper/paper_031.jpg
train/paper/paper_032.jpg,train,paper,original,train/paper/paper_032.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_01.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_01.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_02.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_02.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_03.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_03.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_04.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_04.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_05.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_05.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_06.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_06.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_07.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_07.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_08.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_08.jpg,train/paper/paper_032.jpg
train/paper/paper_032__aug_v2_09.jpg,train,paper,augmentation,train/paper/paper_032__aug_v2_09.jpg,train/paper/paper_032.jpg
train/paper/paper_033.jpg,train,paper,original,train/paper/paper_033.jpg,train/paper/paper_033.jpg
