prepared_relative_path,split,label,kind,source_dataset,source_path,transform_parameters
train/paper/paper_005.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005.jpg,
train/paper/paper_005__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_01.jpg,
train/paper/paper_005__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_02.jpg,
train/paper/paper_005__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_03.jpg,
train/paper/paper_005__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_04.jpg,
train/paper/paper_005__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_05.jpg,
train/paper/paper_005__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_06.jpg,
train/paper/paper_005__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_07.jpg,
train/paper/paper_005__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_08.jpg,
train/paper/paper_005__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_005__aug_v2_09.jpg,
train/paper/paper_006.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006.jpg,
train/paper/paper_006__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_01.jpg,
train/paper/paper_006__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_02.jpg,
train/paper/paper_006__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_03.jpg,
train/paper/paper_006__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_04.jpg,
train/paper/paper_006__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_05.jpg,
train/paper/paper_006__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_06.jpg,
train/paper/paper_006__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_07.jpg,
train/paper/paper_006__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_08.jpg,
train/paper/paper_006__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_006__aug_v2_09.jpg,
train/paper/paper_007.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007.jpg,
train/paper/paper_007__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_01.jpg,
train/paper/paper_007__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_02.jpg,
train/paper/paper_007__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_03.jpg,
train/paper/paper_007__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_04.jpg,
train/paper/paper_007__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_05.jpg,
train/paper/paper_007__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_06.jpg,
train/paper/paper_007__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_07.jpg,
train/paper/paper_007__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_08.jpg,
train/paper/paper_007__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_007__aug_v2_09.jpg,
train/paper/paper_008.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008.jpg,
train/paper/paper_008__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_01.jpg,
train/paper/paper_008__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_02.jpg,
train/paper/paper_008__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_03.jpg,
train/paper/paper_008__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_04.jpg,
train/paper/paper_008__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_05.jpg,
train/paper/paper_008__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_06.jpg,
train/paper/paper_008__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_07.jpg,
train/paper/paper_008__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_08.jpg,
train/paper/paper_008__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_008__aug_v2_09.jpg,
train/paper/paper_009.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009.jpg,
train/paper/paper_009__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_01.jpg,
train/paper/paper_009__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_02.jpg,
train/paper/paper_009__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_03.jpg,
train/paper/paper_009__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_04.jpg,
train/paper/paper_009__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_05.jpg,
train/paper/paper_009__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_06.jpg,
train/paper/paper_009__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_07.jpg,
train/paper/paper_009__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_08.jpg,
train/paper/paper_009__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_009__aug_v2_09.jpg,
train/paper/paper_010.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010.jpg,
train/paper/paper_010__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_01.jpg,
train/paper/paper_010__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_02.jpg,
train/paper/paper_010__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_03.jpg,
train/paper/paper_010__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_04.jpg,
train/paper/paper_010__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_05.jpg,
train/paper/paper_010__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_06.jpg,
train/paper/paper_010__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_07.jpg,
train/paper/paper_010__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_08.jpg,
train/paper/paper_010__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_010__aug_v2_09.jpg,
train/paper/paper_011.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011.jpg,
train/paper/paper_011__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_01.jpg,
train/paper/paper_011__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_02.jpg,
train/paper/paper_011__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_03.jpg,
train/paper/paper_011__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_04.jpg,
train/paper/paper_011__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_05.jpg,
train/paper/paper_011__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_06.jpg,
train/paper/paper_011__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_07.jpg,
train/paper/paper_011__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_08.jpg,
train/paper/paper_011__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_011__aug_v2_09.jpg,
train/paper/paper_012.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012.jpg,
train/paper/paper_012__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_01.jpg,
train/paper/paper_012__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_02.jpg,
train/paper/paper_012__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_03.jpg,
train/paper/paper_012__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_04.jpg,
train/paper/paper_012__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_05.jpg,
train/paper/paper_012__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_06.jpg,
train/paper/paper_012__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_07.jpg,
train/paper/paper_012__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_08.jpg,
train/paper/paper_012__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_012__aug_v2_09.jpg,
train/paper/paper_015.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015.jpg,
train/paper/paper_015__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_01.jpg,
train/paper/paper_015__aug_v2_02.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_02.jpg,
train/paper/paper_015__aug_v2_03.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_03.jpg,
train/paper/paper_015__aug_v2_04.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_04.jpg,
train/paper/paper_015__aug_v2_05.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_05.jpg,
train/paper/paper_015__aug_v2_06.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_06.jpg,
train/paper/paper_015__aug_v2_07.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_07.jpg,
train/paper/paper_015__aug_v2_08.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_08.jpg,
train/paper/paper_015__aug_v2_09.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_015__aug_v2_09.jpg,
train/paper/paper_017.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_017.jpg,
train/paper/paper_017__aug_v2_01.jpg,train,paper,preserved,v3_prepared,F:\ANHTHU\1-HCMUS\1 - STUDY\0-now\AIOT\PROJECT\CODE\AIOT-SMART-TRASH-BIN\AI\V3\dataset_prepared\train\paper\paper_017__aug_v2_01.jpg,
